"Plot Title: 08_13_2019_Faga'Alu"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)","Intensity, lum/ft² (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)"
171,08/17/19 06:00:00 AM,28.357,0.0
172,08/17/19 06:30:00 AM,28.357,1.0
173,08/17/19 07:00:00 AM,28.456,26.0
174,08/17/19 07:30:00 AM,28.754,216.0
175,08/17/19 08:00:00 AM,28.754,120.0
176,08/17/19 08:30:00 AM,29.152,168.0
177,08/17/19 09:00:00 AM,29.552,208.0
178,08/17/19 09:30:00 AM,29.652,432.0
179,08/17/19 10:00:00 AM,29.853,512.0
180,08/17/19 10:30:00 AM,30.054,448.0
181,08/17/19 11:00:00 AM,29.953,800.0
182,08/17/19 11:30:00 AM,29.352,208.0
183,08/17/19 12:00:00 PM,29.352,288.0
184,08/17/19 12:30:00 PM,29.853,336.0
185,08/17/19 01:00:00 PM,30.457,512.0
186,08/17/19 01:30:00 PM,29.652,352.0
187,08/17/19 02:00:00 PM,29.452,256.0
188,08/17/19 02:30:00 PM,29.053,176.0
189,08/17/19 03:00:00 PM,29.352,400.0
190,08/17/19 03:30:00 PM,29.352,288.0
191,08/17/19 04:00:00 PM,28.953,49.0
192,08/17/19 04:30:00 PM,28.754,60.0
193,08/17/19 05:00:00 PM,28.655,46.0
194,08/17/19 05:30:00 PM,28.555,29.0
195,08/17/19 06:00:00 PM,28.655,26.0
196,08/17/19 06:30:00 PM,28.655,0.0
197,08/17/19 07:00:00 PM,28.555,0.0
198,08/17/19 07:30:00 PM,28.555,0.0
199,08/17/19 08:00:00 PM,28.555,0.0
200,08/17/19 08:30:00 PM,28.555,0.0
201,08/17/19 09:00:00 PM,28.555,0.0
202,08/17/19 09:30:00 PM,28.555,0.0
203,08/17/19 10:00:00 PM,28.555,0.0
204,08/17/19 10:30:00 PM,28.456,0.0
205,08/17/19 11:00:00 PM,28.456,0.0
206,08/17/19 11:30:00 PM,28.456,0.0
207,08/18/19 12:00:00 AM,28.456,0.0
208,08/18/19 12:30:00 AM,28.456,0.0
209,08/18/19 01:00:00 AM,28.456,0.0
210,08/18/19 01:30:00 AM,28.456,0.0
211,08/18/19 02:00:00 AM,28.357,0.0
212,08/18/19 02:30:00 AM,28.357,0.0
213,08/18/19 03:00:00 AM,28.357,0.0
214,08/18/19 03:30:00 AM,28.357,0.0
215,08/18/19 04:00:00 AM,28.357,0.0
216,08/18/19 04:30:00 AM,28.357,0.0
217,08/18/19 05:00:00 AM,28.258,0.0
218,08/18/19 05:30:00 AM,28.258,0.0
219,08/18/19 06:00:00 AM,28.258,0.0
220,08/18/19 06:30:00 AM,28.258,0.0
221,08/18/19 07:00:00 AM,28.357,18.0
222,08/18/19 07:30:00 AM,28.456,34.0
223,08/18/19 08:00:00 AM,28.853,192.0
224,08/18/19 08:30:00 AM,29.252,336.0
225,08/18/19 09:00:00 AM,28.853,200.0
226,08/18/19 09:30:00 AM,29.152,416.0
227,08/18/19 10:00:00 AM,29.552,432.0
228,08/18/19 10:30:00 AM,29.853,672.0
229,08/18/19 11:00:00 AM,29.352,368.0
230,08/18/19 11:30:00 AM,30.154,704.0
231,08/18/19 12:00:00 PM,30.154,864.0
232,08/18/19 12:30:00 PM,30.154,672.0
233,08/18/19 01:00:00 PM,29.953,400.0
234,08/18/19 01:30:00 PM,30.154,608.0
235,08/18/19 02:00:00 PM,30.457,672.0
236,08/18/19 02:30:00 PM,30.558,608.0
237,08/18/19 03:00:00 PM,30.457,512.0
238,08/18/19 03:30:00 PM,30.356,464.0
239,08/18/19 04:00:00 PM,30.154,400.0
240,08/18/19 04:30:00 PM,29.953,128.0
241,08/18/19 05:00:00 PM,29.853,136.0
242,08/18/19 05:30:00 PM,29.552,78.0
243,08/18/19 06:00:00 PM,29.252,20.0
244,08/18/19 06:30:00 PM,28.953,0.0
245,08/18/19 07:00:00 PM,28.655,0.0
246,08/18/19 07:30:00 PM,28.456,0.0
247,08/18/19 08:00:00 PM,28.357,0.0
248,08/18/19 08:30:00 PM,28.357,0.0
249,08/18/19 09:00:00 PM,28.357,0.0
250,08/18/19 09:30:00 PM,28.357,0.0
251,08/18/19 10:00:00 PM,28.357,0.0
252,08/18/19 10:30:00 PM,28.357,0.0
253,08/18/19 11:00:00 PM,28.357,0.0
254,08/18/19 11:30:00 PM,28.357,0.0
255,08/19/19 12:00:00 AM,28.357,0.0
256,08/19/19 12:30:00 AM,28.357,0.0
257,08/19/19 01:00:00 AM,28.357,0.0
258,08/19/19 01:30:00 AM,28.258,0.0
259,08/19/19 02:00:00 AM,28.258,0.0
260,08/19/19 02:30:00 AM,28.159,0.0
261,08/19/19 03:00:00 AM,28.159,0.0
262,08/19/19 03:30:00 AM,28.159,0.0
263,08/19/19 04:00:00 AM,28.159,0.0
264,08/19/19 04:30:00 AM,28.060,0.0
265,08/19/19 05:00:00 AM,28.060,0.0
266,08/19/19 05:30:00 AM,28.060,0.0
267,08/19/19 06:00:00 AM,28.060,0.0
268,08/19/19 06:30:00 AM,28.060,1.0
269,08/19/19 07:00:00 AM,28.060,25.0
270,08/19/19 07:30:00 AM,28.258,124.0
271,08/19/19 08:00:00 AM,28.655,103.0
272,08/19/19 08:30:00 AM,29.152,176.0
273,08/19/19 09:00:00 AM,29.652,416.0
274,08/19/19 09:30:00 AM,29.352,128.0
275,08/19/19 10:00:00 AM,29.352,128.0
276,08/19/19 10:30:00 AM,29.152,128.0
277,08/19/19 11:00:00 AM,29.853,432.0
278,08/19/19 11:30:00 AM,30.356,512.0
279,08/19/19 12:00:00 PM,30.356,704.0
280,08/19/19 12:30:00 PM,30.558,768.0
281,08/19/19 01:00:00 PM,30.457,192.0
282,08/19/19 01:30:00 PM,30.054,184.0
283,08/19/19 02:00:00 PM,30.054,200.0
284,08/19/19 02:30:00 PM,30.054,200.0
285,08/19/19 03:00:00 PM,29.853,144.0
286,08/19/19 03:30:00 PM,29.853,200.0
287,08/19/19 04:00:00 PM,29.352,31.0
288,08/19/19 04:30:00 PM,29.053,10.0
289,08/19/19 05:00:00 PM,28.853,6.0
290,08/19/19 05:30:00 PM,29.252,13.0
291,08/19/19 06:00:00 PM,29.152,77.0
292,08/19/19 06:30:00 PM,29.652,0.0
